intervention,impact_months,cost_rating,evidence,cost_per_pupil,gap_reduction_pts,cost_effectiveness
Metacognition & self-regulation,8,1,4,40,28.0,70.0
Reading comprehension strategies,7,1,3,40,24.5,61.25
Feedback,6,1,4,40,21.0,52.5
Oral language interventions,6,1,4,40,21.0,52.5
Peer tutoring,6,1,4,40,21.0,52.5
Collaborative learning,5,1,2,40,17.5,43.75
Homework,5,1,1,40,17.5,43.75
Mastery learning,5,1,2,40,17.5,43.75
One to one tuition,5,3,3,450,17.5,3.89
Phonics,5,1,5,40,17.5,43.75
Individualised instruction,4,1,2,40,14.0,35.0
Parental engagement,4,1,4,40,14.0,35.0
Small group tuition,4,2,3,140,14.0,10.0
Teaching assistant interventions,4,3,3,450,14.0,3.11
Arts participation,3,1,3,40,10.5,26.25
Behaviour interventions,3,2,3,140,10.5,7.5
Extending school time,3,3,3,450,10.5,2.33
Social & emotional learning,3,1,3,40,10.5,26.25
Summer schools,3,3,2,450,10.5,2.33
Mentoring,2,3,3,450,7.0,1.56
Physical activity,2,1,5,40,7.0,17.5
Within class attainment grouping,2,1,1,40,7.0,17.5
Reducing class size,1,5,1,1500,3.5,0.23
Performance pay,1,2,1,140,3.5,2.5
