metric,high_risk_mean,low_risk_mean,difference_high_minus_low,corr_with_risk
school_mean_math,471.0944003438289,389.8697524465134,81.22464789731549,0.3765351415877302
low_perf_share_400,0.26270653935257865,0.6051135989610482,-0.34240705960846957,-0.3680135531320347
school_mean_escs,-0.16613011156296897,-0.6458172136423915,0.47968710207942256,0.23384318150261588
teacher_response_count,19.313253012048193,12.665223665223666,6.6480293468245275,0.23140641333371514
within_school_gap,42.484926264686884,13.213667735629516,29.27125852905737,0.2118645976550417
student_math_anxiety_mean,0.12076878611138306,0.18326232271533,-0.062493536603946936,-0.15515872592249325
NEGSCLIM,0.0839500999000999,-0.41767615894039734,0.5016262588404973,0.13659526755131896
SCHAUTO,0.21262985166872678,-0.05760492581602374,0.2702347774847505,0.13474915902565762
EDUSHORT,-0.11801028084252757,0.1356528992878942,-0.2536631801304218,-0.11723217422279653
student_belong_mean,-0.043818054211459345,-0.11658362814186726,0.07276557393040792,0.10529310231689282
STAFFSHORT,0.10402975338106603,-0.01669075439591604,0.12072050777698207,-0.009763709229620388
