CNT,school_key,official_segment,risk_classification,EQUITY_RISK_SCORE,school_mean_math,within_school_gap,recommended_interventions,rationale,performance_cut,gap_cut,risk_cut_moderate,risk_cut_high,risk_cut_very_high
CZE,20300313,Resilient equitable performers,Very high,93.0,588.5711521963224,-24.9474688493425,Metacognition & self-regulation | Parental engagement,Evidence-informed prioritisation based on observed school profile; not causal proof.,445.51979700137355,28.380495433068006,45.3,54.3,70.1
CZE,20300308,Resilient equitable performers,Very high,93.0,549.8032524062954,5.029462714175793,Metacognition & self-regulation | Parental engagement,Evidence-informed prioritisation based on observed school profile; not causal proof.,445.51979700137355,28.380495433068006,45.3,54.3,70.1
CZE,20300280,Strained high-inequality schools,Very high,93.0,425.6660337859543,59.69529742874806,Social & emotional learning | Metacognition & self-regulation | Teaching assistant interventions,Evidence-informed prioritisation based on observed school profile; not causal proof.,445.51979700137355,28.380495433068006,45.3,54.3,70.1
CZE,20300219,Low-achievement broad support need,Very high,93.0,405.3700818181818,-14.205696666666654,Metacognition & self-regulation | Parental engagement | Social & emotional learning,Evidence-informed prioritisation based on observed school profile; not causal proof.,445.51979700137355,28.380495433068006,45.3,54.3,70.1
CZE,20300214,Strained high-inequality schools,Very high,93.0,387.1522151325616,67.10485642729276,Social & emotional learning | Metacognition & self-regulation | Teaching assistant interventions,Evidence-informed prioritisation based on observed school profile; not causal proof.,445.51979700137355,28.380495433068006,45.3,54.3,70.1
CZE,20300238,High-achievement unequal schools,Very high,93.0,483.3076743518385,34.35573961096725,Metacognition & self-regulation | Parental engagement | Social & emotional learning,Evidence-informed prioritisation based on observed school profile; not causal proof.,445.51979700137355,28.380495433068006,45.3,54.3,70.1
CZE,20300243,High-achievement unequal schools,Very high,93.0,570.8967890266728,44.85165495165961,Metacognition & self-regulation | Parental engagement | Social & emotional learning,Evidence-informed prioritisation based on observed school profile; not causal proof.,445.51979700137355,28.380495433068006,45.3,54.3,70.1
CZE,20300254,Low-achievement broad support need,Very high,93.0,405.5612946586981,-18.886432809419603,Metacognition & self-regulation | Parental engagement | Social & emotional learning,Evidence-informed prioritisation based on observed school profile; not causal proof.,445.51979700137355,28.380495433068006,45.3,54.3,70.1
IRL,37200143,Mixed profile,Moderate,48.0,439.70948182525007,88.72693583494419,Metacognition & self-regulation | Social & emotional learning,Evidence-informed prioritisation based on observed school profile; not causal proof.,445.51979700137355,28.380495433068006,45.3,54.3,70.1
DNK,20800290,Mixed profile,Moderate,47.7,423.5606661224138,101.7201226696913,Metacognition & self-regulation | Social & emotional learning,Evidence-informed prioritisation based on observed school profile; not causal proof.,445.51979700137355,28.380495433068006,45.3,54.3,70.1
URY,85800156,Digitally constrained schools,Moderate,47.3,379.5411168765848,73.75878054161694,Teaching assistant interventions | Metacognition & self-regulation | Parental engagement,Evidence-informed prioritisation based on observed school profile; not causal proof.,445.51979700137355,28.380495433068006,45.3,54.3,70.1
PER,60400307,Digitally constrained schools,Moderate,47.1,385.70907028235047,29.627859314755028,Teaching assistant interventions | Metacognition & self-regulation | Parental engagement,Evidence-informed prioritisation based on observed school profile; not causal proof.,445.51979700137355,28.380495433068006,45.3,54.3,70.1
